Andhra Pradesh[edit source | editbeta],
1,Adilabad
2,Peddapalli
3,Karimnagar
4,Nizamabad
5,Zahirabad
6,Medak
7,Malkajgiri
8,Secunderabad
9,Hyderabad
10,Chevella
11,Mahabubnagar
12,Nagarkurnool
13,Nalgonda
14,Bhongir
15,Warangal
16,Mahabubabad
17,Khammam
18,Araku
19,Srikakulam
20,Vizianagaram
21,Visakhapatnam
22,Anakapalli
23,Kakinada
24,Amalapuram
25,Rajahmundry
26,Naraspur
27,Eluru
28,Machilipatnam
29,Vijayawada
30,Guntur
31,Narasaraopet
32,Bapatla
33,Ongole
34,Nandyal
35,Kurnool
36,Anantapur
37,Hindupur
38,Cuddapah
39,Nellore
40,Tirupathi
41,Rajampet
42,Chittoor
Assam[edit source | editbeta],
1,Karimganj
2,Silchar
3,Autonomous District
4,Dhubri
5,Kokrajhar
6,Barpeta
7,Gauhati
8,Mangaldoi
9,Tezpur
10,Nowgong
11,Kaliabor
12,Jorhat
13,Dibrugarh
14,Lakhimpur
Bihar[edit source | editbeta],
1,Valmiki Nagar
2,Paschim Champaran
3,Purvi Champaran
4,Sheohar
5,Sitamarhi
6,Madhubani
7,Jhanjharpur
8,Supaul
9,Araria
10,Kishanganj
17,Gopalganj
18,Siwan
19,Maharajganj
20,Saran
21,Hajipur
22,Ujiarpur
23,Samastipur
24,Begusarai
25,Khagaria
26,Bhagalpur
27,Banka
28,Munger
29,Nalanda
30,Patna Sahib
31,Pataliputra
32,Arrah
33,Buxar
34,Sasaram
35,Karakat
36,Jahanabad
37,Aurangabad
38,Gaya
39,Nawada
40,Jamui
Gujarat[edit source | editbeta],
1,Kachchh
2,Banaskantha
3,Patan
4,Mahesana
5,Sabarkantha
6,Gandhinagar
7,Ahmedabad East
8,Ahmedabad West
9,Surendranagar
10,Rajkot
11,Porbandar
12,Jamnagar
13,Junagadh
14,Amreli
15,Bhavnagar
16,Anand
17,Kheda
18,Panchmahal
19,Dahod
20,Vadodara
21,Chhota Udaipur
22,Bharuch
23,Bardoli
24,Surat
25,Navsari
26,Valsad
Haryana[edit source | editbeta],
1,Ambala
